department;name;location;type;emission_intensity
91;ZUP de la Croix Blanche;Vigneux-sur-Seine;hot;0.137
91;Réseau d'Epinay sous Sénart;Epinay-sous-Sénart;hot;0.068
91;Réseau de Ris-Orangis;Ris-Orangis;hot;0.094
91;Réseaux ZUP de Saint Hubert et Louis Pergaud;Sainte Geneviève des Bois;hot;0.217
91;Les Tarterets;Corbeil-Essonnes;hot;0.28
91;Réseau de Grigny COFELY;Grigny;hot;0.289
91;Réseau Parc d'activités;Villejust;hot;0
91;Réseau de Viry Châtillon;Viry-Châtillon;hot;0.218
92;Réseau de Meudon;Meudon la Forêt;hot;0.208
92;Réseau de Clichy;Clichy la Garenne;hot;0.26
92;ZAC Sainte-Geneviève;Nanterre;hot;0.101
92;Réseau Gennedith;Gennevilliers;hot;0.231
92;Réseau de Chaville;Chaville;hot;0.224
92;ZAC de Levallois Perret;Levallois-Perret;hot;0.253
92;Réseau du Plessis-Robinson (HLM);Plessis-Robinson;hot;0.332
92;ZAC du Front de Seine;Levallois-Perret;hot;0.274
92;Réseau de Châtillon sous Bagneux Cocharec;Châtillon-Sous-Bagneux;hot;0.212
92;ZAC île Séguin Rives de Seine;Boulogne-Billancourt;hot;0.214
92;ZAC île Séguin Rives de Seine;Boulogne-Billancourt;cold;0.013
92;Réseau du Plessis Robinson-ZIPEC;Le Plessis-Robinson;hot;0.346
92;Chauffage urbain de Suresnes;Suresnes;hot;0.24
92;Réseau Soclic;Courbevoie;hot;0.25
92;Réseau de La Défense-Enertherm;Courbevoie;hot;0.244
92;Réseau de La Défense-Enertherm;Courbevoie;cold;0.009
92;Résidence Villeneuve;Villeneuve-la-Garenne;hot;0.212
92;Réseau Ciceo;Puteaux;hot;0.235
92;Réseau Suc;Issy-les-Moulineaux;cold;0.012
92;Réseau Quartier Hoche;Nanterre;hot;0.095
92;Réseau de la ZAC de la Marine;Colombes;hot;0.202
92;Réseau Cristalia;Levallois-Perret;cold;0.02
93;Réseau de Saint Denis;Saint Denis;hot;0.177
93;ZUP de Bobigny;Bobigny;hot;0.217
93;ZAC de Sevran;Sevran;hot;0.217
93;ZUP des Fauvettes;Neuilly-sur-Marne;hot;0.244
93;Réseau de Villepinte;Villepinte;hot;0.254
93;Pariféric;Aubervilliers;hot;0.313
93;Rougemont Perrin Chanteloup;Sevran;hot;0.202
93;Réseau ADP Le Bouget;Le Bourget;hot;0.021
93;Réseau ADP Le Bouget;Le Bourget;cold;0.242
93;Le Chêne Pointu;Clichy-sous-Bois;hot;0.173
93;Le Gros Saule;Aulnay-sous-Bois;hot;0.18
93;La Courneuve Quartier Nord;La Courneuve;hot;0.159
93;Tremblay-en-France;Tremblay-en-France;hot;0.09
93;Réseau du Blanc Mesnil;Blanc Mesnil;hot;0.232
93;Réseau de Bondy;Bondy;hot;0.192
93;Garonor;Aulnay sous bois;hot;0.322
93;Aulnay 3000-Rose des Vents;Aulnay sous bois;hot;0.325
93;Stade Energies Centrale Landy;Saint-Denis;hot;0.225
93;Stade Energies;Saint-Denis;cold;0.009
93;La Courneuve Quartier Sud;La Courneuve;hot;0.161
93;Résidence Les Lilas;Les Lilas;hot;0.283
94;Réseau de Limeil-Brévannes;Limeil-Brévannes;hot;0.274
94;Réseau de Créteil-Scuc;Créteil;hot;0.047
94;Réseau de Vitry-sur-Seine;Vitry-sur-Seine;hot;0.235
94;Fontenay-sous-Bois;Fontenay-sous-Bois;hot;0.166
94;Réseau de Sucy en Brie;Sucy-en-Brie;hot;0.089
94;Réseau de Cachan;Cachan;hot;0.026
94;Réseau de Champigny sur Marne;Champigny-sur-Marne;hot;0.058
94;Réseau de Maison Alfort;Maison-Alfort;hot;0.077
94;Réseau de Thiais;Thiais;hot;0.014
94;Réseau de Bonneuil sur Marne (UIOM);Bonneuil-sur-Marne;hot;0.056
94;Réseau de Chevilly-Larue et l'Hay les Roses;l'Hay-les-Roses;hot;0.087
94;Quartier Nord;Fresnes;hot;0.103
94;Réseau d'Orly;Orly;hot;0.018
94;Réseau d'Alfortville-Smag;Alfortville;hot;0.055
94;Réseau d'Ivry;Ivry;hot;0.226
94;Réseau de Villeneuve Saint Georges;Villeneuve Saint Georges;hot;0.084
94;Réseau ADP Orly;Orly;hot;0.084
94;Réseau ADP Orly;Orly;cold;0.007
95;Réseau de la ZAC Croix Rouge;Taverny;hot;0.24
95;Grand Ensemble Sarcelles-Locheres;Sarcelles;hot;0.037
95;Réseau de Cergy-Pontoise;Cergy Pontoise;hot;0.188
95;Les Chênes;Ermont;hot;0.209
95;Van Gogh;Garges-Les-Gonesse;hot;0.181
95;ZUP de Sannois-Ermont-Franconville;Franconville;hot;0.08
95;Réseau d'Argenteuil;Argenteuil;hot;0.053
95;Réseaux ADP Roissy;Roissy;hot;0.166
95;Réseau ADP Roissy;Roissy;cold;0.008
95;ZUP de l'Epine Guyon;Franconville;hot;0.201
95;Réseau de Villiers-le-Bel-Gonesse;Villiers-le-Bel;hot;0.058
95;Réseau de Pontoise;Pontoise;hot;0.194
95;ZAC Montedour;Franconville;hot;0.23
