department;name;location;type;emission_intensity
33;Réseau de chaleur de Gironde sur Dropt;Gironde sur Dropt;hot;0.004
33;Réseau de chaleur de Saint-Pierre d'Aurillac;Saint-Pierre d'Aurillac;hot;0.03
33;Réseau de la Réole;La Réole;hot;0.015
33;Réseau de Terre Neuves;Bègles;hot;0.128
33;Eco-quartier GINKO;Lormont;hot;0.096
34;Polygone Antigone;Montpellier;hot;0.265
34;Polygone Antigone;Montpellier;cold;0.085
34;Ernest Granier;Montpellier;hot;0.186
34;Ernest Granier;Montpellier;cold;0.01
34;Port Marianne Odysseum;Montpellier;hot;0.198
34;Port Marianne Odysseum;Montpellier;cold;0.011
34;Réseau des universités;Montpellier;hot;0.026
34;Réseau Arches Jacques Coeur;Montpellier;hot;0.225
34;Réseau Arches Jacques Coeur;Montpellier;cold;0.015
34;Parc Marianne;Montpellier;hot;0.192
34;Les Grisettes;Montpellier;hot;0.034
34;ZAC des Constellations;Juvignac;hot;0.064
35;Villejean-Beauregard;Rennes;hot;0.21
35;Sarah Bernhardt;Rennes;hot;0.201
35;Campus scientifique de Beaulieu;Rennes;hot;0.203
35;Quartier Sud;Rennes;hot;0.095
37;Morier et Rabière;Joué les Tours;hot;0.239
37;ZUP des Bords de Cher;Tours;hot;0.103
37;Sanitas;Tours;hot;0.119
37;Quartier Chateaubriand;Tours;hot;0.184
37;La Rabaterie;Saint-Pierre-des-Corps;hot;0.22
37;Réseau UIOM Chinon;Saint-Benoît-la-Forêt;hot;0.003
37;Réseau de la Riche-Quartier;La Riche;hot;0.225
38;Compagnie de chauffage de Grenoble;Grenoble;hot;0.143
38;Compagnie de chauffage de Grenoble;Grenoble;cold;0.012
38;Réseau UIOM SITOM Nord Isère;Bourgoin Jailleu;hot;0
38;Réseau de chaleur de Vinay;Vinay;hot;0.023
38;Réseau de Saint Marcellin;Saint-Marcellin;hot;0.031
38;Les Laiches;Villars-de-Lans;hot;0.186
38;Réseau de Lans-en-Vercors;Lans-en-Vercors;hot;0.016
38;Réseau de Monestier-de-Clermont;Monestier-de-Clermont;hot;0.038
38;Réseau de Mens;Mens;hot;0.079
38;Réseau bois RCBP;Pontcharra;hot;0.05
38;Allevard;Allevard;hot;0.024
39;Réseau de Dole;Dole;hot;0.118
39;La Marjorie;Lons le Saunier;hot;0.079
39;Réseau de Champvans;Champvans;hot;0
39;Réseau de Moirans en Montagne;Moirans en Montagne;hot;0.161
40;Géothermie Mont-de-Marsan (GMM1);Mont-de-Marsan;hot;0.239
41;Quartier Bégon et Chevalier;Blois;hot;0.037
41;ZAC des Paradis;Vineuil;hot;0.037
41;Réseau de Mondoubleau;Mondoubleau;hot;0.077
42;ZUP de la Cotonne;Saint-Étienne;hot;0.232
42;La Métare;Saint-Étienne;hot;0.19
42;Montchovet-Beaulieu 4 (HLM);Saint-Étienne;hot;0.31
42;Réseau de Firminy;Firminy;hot;0.211
42;Quartier RN 7;Roanne;hot;0.242
42;ZUP du Parc des Sports;Roanne;hot;0.235
42;Réseau de Chaleur VIACONFORT;Saint Etienne;hot;0.077
42;Réseau de froid VIACONFORT;Saint Etienne;cold;0.014
42;ZUP de Montreynaud;Saint-Étienne;hot;0.1
42;Réseau d'Andrézieux-Bouthéon;Andrézieux-Bouthéon;hot;0.032
42;Réseau de Montrond-les-Bains;Montrond-les-Bains;hot;0.032
